sella,hold_n,q80_live,q80_a,n_cal_a,q80_b,n_cal_b
APT_FLOOR|Capital_sub,300,0.094179685485976,0.09647007989021363,1802,0.12458267062546469,146
APT_FLOOR|RVK_core,288,0.12463502549531214,0.12601586401169415,1425,0.1334195292729568,149
APT_STANDARD|RVK_core,246,0.08987133882110677,0.09176132869075815,1661,0.10359618936752146,114
APT_FLOOR|Country,187,0.1917568887350889,0.19793564060921298,1142,0.22788929318319973,101
APT_STANDARD|Capital_sub,143,0.08540293199458837,0.08630938637641386,1329,0.10006765016618148,75
APT_STANDARD|Country,49,0.12290123862679181,0.12991412117325218,431,0.2313745763412385,30
SUMMERHOUSE|Country,45,,,0,,0
SFH_DETACHED|Country,41,0.29915751343270536,0.2951195786032057,243,,0
APT_BASEMENT|RVK_core,31,0.1042182866826746,0.10257339597149517,211,,0
ROW_HOUSE|Capital_sub,29,0.10740333654264411,0.10612153605633702,149,,0
SFH_DETACHED|Capital_sub,25,0.16724241794448388,0.1677959694862484,197,,0
ROW_HOUSE|Country,19,0.1536161539588438,0.1607509535863585,216,,0
SEMI_DETACHED|Capital_sub,14,0.1371119864908419,0.1372661165415366,93,,0
SEMI_DETACHED|Country,13,0.20580837825987613,0.2027683200715025,110,,0
